,Customer_Name,Similar_Name
354,bird & bird,alston & bird llp
355,bischöfliches ordinariat,bischöfliches ordinariat mainz
356,bischöfliches ordinariat,bischöfliches ordinariat passau
357,bitdefender srl,bitdefender srl
358,bitdefender srl,bitdefender srl
359,blokker b.v.,blokker n.v.
360,blokker n.v.,blokker b.v.
361,blood systems,national blood service
362,bloomberg lp,bloomberg finance lp
363,bmc software inc.,bmc software inc.
364,bmc software inc.,bmc software inc.
365,bmw ag,bmw france
366,bmw france,bmw ag
367,bnp paribas,arval bnp paribas
368,bnp paribas,bank bgz bnp paribas s.a.
369,bnp paribas,bnp paribas
370,bnp paribas,bnp paribas bank - uk
371,bnp paribas,bnp paribas corporate & investment - singapore branch
372,bnp paribas,bnp paribas factor
373,bnp paribas,bnp paribas personal finance
374,bnp paribas,bnp paribas sa
375,bnp paribas,arval bnp paribas
376,bnp paribas,bank bgz bnp paribas s.a.
377,bnp paribas,bnp paribas
378,bnp paribas,bnp paribas bank - uk
379,bnp paribas,bnp paribas corporate & investment - singapore branch
380,bnp paribas,bnp paribas factor
381,bnp paribas,bnp paribas personal finance
382,bnp paribas,bnp paribas sa
383,boehringer ingelheim,boehringer ingelheim pharma gm
384,bond dickinson,bond dickinson llp
385,bond dickinson llp,bond dickinson
386,booz allen hamilton,booz allen hamilton - co
387,boston university,boston public health
388,bournemouth university,bournemouth borough council
389,bournemouth university,royal bournemouth hospital
390,box consultants,box inc
391,box inc,box consultants
392,box inc,home box office
393,box inc,office in a box
394,bradford council,bradford county council
395,bradford council,university of bradford
396,bradford county council,bradford council
397,bridge bank,bridge credit union
398,bridge bank,"bridge trust co.,ltd"
399,bridge bank,design bridge ltd
400,bridgend council,bridgend county borough council
401,bridgend council,bridgend county council
402,bridgend county council,bridgend council
403,bridgestone,bridgestone americas
404,bridgestone americas,bridgestone
405,brighton bank,brighton corporation
406,brighton bank,university of brighton
407,brighton corporation,brighton bank
408,brighton corporation,university of brighton
409,brinker capital,brinker international
410,brinker international,brinker capital
411,brock insurance,brock white
412,brock white,brock insurance
413,bronson healthcare,bronson healthcare group
414,bronson healthcare group,bronson healthcare
415,broomfield school,broomfield county colorado
416,broward county,broward county public schools
417,broward county,broward county sheriff dept.
418,broward county,broward county sheriff's office
419,broward county,broward county transit divisio
420,broward county,county of broward
421,brown brothers,brown brothers harriman & co.
422,brown brothers,brown brothers harriman & comp
423,brown smith wallace,brown smith wallace llc
424,brtrc technology research,brtrc technology research corporation
425,brunei shell,brunei shell petroleum co sdn bhd
426,bryan cave,bryan cave (do not use)
427,bt expedite,bt expedite go outdoors
428,bt expedite,bt expedite charles clinkard
429,bt expedite,bt expedite hobbs
430,bundeskanzleramt,bundeskanzleramt wien
431,bundeskanzleramt wien,bundeskanzleramt
432,bundesrepublik deutschland,bundesrepublik deutschland finanzagentur gmbh
433,bundesstadt bonn,bundesstadt bonn amt für organ
434,bunnings group limited,bunnings group limited
435,bunnings group limited,bunnings group limited
436,bureau of reclamation,us bureau of reclamation
