New_Deal_Count,Product_Family,Product_Code,Product_Name
12,EMSS,PRWSV0001,"Ivanti Patch & Remediation Windows 1Yr Subscription - Powered by HEAT, Volume/Renewal Only"
2,EMSS,S-ES-SV-L,"Ivanti Endpoint Security for Server License, powered by HEAT"
1,EMSS,S-ES-WS-L,"Ivanti Endpoint Security for Workstation License, powered by HEAT"
5,EMSS,SGECL0001,"Ivanti Sophos Safeguard Easy Disk Encrypt Perpetual License - Powered by HEAT, Volume Only"
2,EMSS,SGECL0002,"Ivanti Sophos Disk Encryption Perpetual License - Powered by HEAT, Volume Only"
6,Endpoint Security Suite,ES2 LIC 00 F,"Endpoint Security Suite 2.0 - Named User License, powered by AppSense"
3,Endpoint Security Suite,ES2 UPG AM F,"Endpoint Security Suite 2.0 - Named User License Upgrade, from Application Manager, powered by AppSense"
17,Environment Manager,EM GSP 01 H,Environment Manager Hosted - 1 Month Subscription License
1,Environment Manager,EM GSP 06 SN,Environment Manager 6 Months Subscription License
1,Environment Manager,EM LIC 00 D,Environment Manager - Desktop Licence - Per User
1,Environment Manager,EM LIC 00 D,Environment Manager-Desktop-Single Licence
691,Environment Manager,EM LIC 00 F,"Ivanti Environment Manager - Named User License, powered by AppSense"
44,Environment Manager,EM LIC 00 P,Environment Manager - Single Platform Licence - Named User
146,Environment Manager,EM LIC 00 T,Environment Manager - User License -Terminal Server
146,Environment Manager,EM LIC 00 T,"Ivanti Environment Manager - Flexible Platform - Per CCU License, powered by AppSense"
2,Environment Manager,EM MSP 01 F,"Ivanti Environment Manager Monthly MSP - Named User, powered by AppSense"
2,Environment Manager,EM SUB 12 F,"Ivanti Environment Manager Subscription - Named User License – 1 Year, powered by AppSense"
1,Environment Manager,EM UPG CCU,Environment Manager - Named User License Upgrade to CCU
29,Environment Manager,EMA LIC 00 F,Environment Manager plus AM - Flexible Platform  - Named User License
3,Environment Manager,EMA LIC 00 T,Environment Manager plus AM - Flexible Platform - Per CCU License
6,Environment Manager,EMD LIC 00 F,Environment Manager plus DN - Flexible Platform  - Named User License
6,Environment Manager,EME LIC 00 F,Environment Manager Essentials - Flexible Platform  - Named User License
1,Environment Manager,EMI LIC 00 F,Environment Manager plus Insight - Named User License - Flexible Platform
7,Environment Manager,EMP LIC 00 F,Environment Manager plus PM - Flexible Platform  - Named User License
3,Environment Manager,UEM LIC 00 P,UEM Essentials (Promo) - Named User License - Single Platform
2,ES,ACPCL0002,Application Control Server Ed License Classic
3,ES,APCCL0002,"Ivanti Application Control Classic Perpetual License - Powered by HEAT, Volume Only"
1,ES,APCCL0003,"Ivanti Application Control Classic Server Perpetual License - Powered by HEAT, Volume Only"
1,ES,DAC-AC-CPA-L,"Ivanti Device and Application Control (AC CPA Add-on) License, Powered by HEAT"
2,ES,DAC-AC-L,"Ivanti Device and Application Control (AC Only) License, Powered by HEAT"
51,ES,DAC-DC-L,"Ivanti Device and Application Control (DC Only) License, Powered by HEAT"
2,ES,DAC-DC-S,"Ivanti Device and Application Control (DC Only) Subscription, powered by HEAT"
10,ES,DAC-L,"Ivanti Device and Application Control License, Powered by HEAT"
80,ES,DCCCL0001,"Ivanti Device Control Enterprise Classic Perpetual License - Powered by HEAT, Volume Only"
17,ES,DCCSV0001,"Ivanti Device Control Enterprise Classic Premise Subscription - Powered by HEAT, Volume/Renewal Only"
9,ES,ESSCL0001,"Ivanti Endpoint Security Suite Perpetual License - Powered by HEAT, Volume Only"
1,ES,ESSSV0003,"Ivanti Endpoint Security Suite Premise Subscription - Powered by HEAT, Volume/Renewal Only"
8,ES,LACCL0001,"Ivanti Application Control Perpetual License Classic - Powered by HEAT, Volume Only"
79,ES,LDCCL0001,"Ivanti Device Control Classic per Device Perpetual License - Powered by HEAT, Volume Only"
11,ES,LDCSV0001,"Ivanti Device Control Classic per Device Premise Subscription - Powered by HEAT, Volume/Renewal Only"
23,ES,LESCL0001,"Ivanti Endpoint Security Suite Classic Perpetual License - Powered by HEAT, Volume Only"
4,ES,LESSV0001,"Ivanti Endpoint Security Suite Classic Premise Subscription - Powered by HEAT, Volume/Renewal Only"
1,ES,S-DAC-DC-L,"Ivanti Device and Application Control (DC Only) License, Powered by HEAT"
